1,510.49,34.97,8.84,49.05,3.45,16.83,408.81
2,221.55,44.00,25.96,85.04,3.19,2.27,462.47
3,456.96,27.80,15.69,45.34,3.78,14.43,890.93
4,323.02,34.57,10.93,50.26,6.79,45.28,822.85
5,183.83,48.15,16.49,58.77,10.31,50.02,1207.67
6,258.96,9.79,10.82,100.48,17.94,41.50,1269.64
7,100.85,20.54,27.74,58.97,17.74,27.70,922.14
8,150.89,39.41,12.46,36.63,16.79,6.07,546.33
9,86.01,16.25,18.91,73.82,3.12,12.19,858.09
10,145.14,24.31,26.37,41.37,12.80,13.19,336.79
11,230.42,7.74,28.91,14.20,13.04,24.36,605.83
12,127.89,25.49,10.22,34.31,5.26,29.26,1210.27
13,203.91,9.94,12.87,42.81,18.58,38.93,1061.33
14,492.89,23.53,3.90,92.36,3.45,18.51,1428.09
15,197.95,13.64,3.86,16.67,4.60,26.66,744.27
16,206.68,40.47,10.43,92.10,13.59,41.80,848.72
17,259.74,15.04,25.61,92.72,15.54,50.31,935.34
18,202.68,31.67,14.95,63.39,8.22,32.24,830.56
19,126.71,26.21,9.13,100.35,3.03,36.44,348.98
20,229.90,20.85,28.99,45.95,15.98,27.98,856.28
21,197.06,8.60,29.34,58.49,19.20,33.02,1943.48
22,503.35,20.49,19.78,3.83,4.47,26.25,1719.96
23,247.49,9.50,18.04,32.77,20.56,16.59,990.36
24,431.31,44.79,15.83,38.11,13.20,10.62,748.07
25,483.39,39.38,24.17,78.35,11.31,9.86,1842.44
26,140.90,37.33,29.96,15.19,10.99,26.51,1515.20
27,112.85,17.20,18.32,4.66,4.96,1.14,1022.19
28,249.23,16.14,7.64,91.97,1.38,23.41,1298.26
29,467.92,32.37,3.02,71.36,6.02,1.07,1418.09
30,521.46,30.85,19.86,36.10,20.54,20.12,501.59
31,500.33,43.30,26.62,42.32,10.59,20.85,735.57
32,353.45,13.21,15.96,35.65,5.10,37.41,1922.21
33,507.13,3.78,14.99,82.12,10.06,22.29,1635.31
34,76.10,32.30,27.94,90.26,4.52,43.63,480.01
35,149.74,37.40,21.41,96.60,16.66,9.53,874.49
36,385.39,43.00,9.59,45.38,6.23,4.34,703.99
37,310.19,39.46,12.15,54.29,12.68,6.04,1791.52
38,100.88,24.61,30.39,74.30,6.11,49.23,1391.67
39,426.33,43.60,28.97,20.13,11.53,25.11,1835.59
40,55.16,24.32,22.63,80.20,10.56,44.06,1708.25
41,349.82,7.30,27.66,42.13,13.17,12.68,538.69
42,243.48,23.15,1.35,13.42,6.89,37.15,1598.27
43,353.02,47.07,28.11,11.17,3.72,36.06,763.48
44,515.26,7.11,19.94,13.49,15.07,49.44,1462.03
45,89.58,23.51,20.91,23.57,11.20,40.90,1176.41
46,60.94,12.09,11.92,43.31,12.26,45.79,1767.90
47,511.31,48.24,24.66,60.97,3.70,9.88,1069.73
48,507.09,26.94,19.61,48.59,19.63,46.91,1837.23
49,371.50,24.30,23.25,68.91,18.80,42.76,472.42
50,289.29,28.34,17.62,56.09,20.68,14.97,1465.01
51,344.40,15.84,11.44,75.60,13.99,1.34,1809.88
52,56.01,46.08,26.59,42.88,9.66,2.73,669.23
53,509.18,32.72,17.23,39.48,8.25,5.87,839.01
54,456.51,4.47,1.77,95.92,4.96,23.34,158.60
55,344.27,40.20,17.15,66.47,6.98,28.53,1953.27
56,370.21,19.64,10.97,90.65,16.13,30.03,652.37
57,116.19,32.72,30.02,38.58,5.14,23.47,1571.18
58,405.95,24.30,14.63,45.41,20.89,7.70,1412.43
59,94.50,40.08,24.22,92.35,6.94,20.68,1651.51
60,275.48,27.51,29.79,20.58,6.52,47.67,1598.60
61,362.69,18.64,30.08,38.15,5.10,39.77,121.43
62,545.80,22.47,8.34,56.22,18.31,12.66,2034.18
63,70.94,22.69,29.10,44.47,3.66,1.96,637.35
64,403.37,35.65,5.65,10.67,1.22,34.70,499.28
65,411.09,14.40,5.38,12.32,7.86,28.49,1880.94
66,370.22,39.62,17.64,100.65,10.09,20.73,728.70
67,113.39,37.80,2.87,68.40,11.03,35.86,1067.97
68,496.82,8.42,14.55,88.15,4.25,31.04,1627.95
69,163.95,46.50,29.61,85.87,10.25,45.55,1706.27
70,275.68,19.35,19.30,57.64,8.89,48.66,482.15
71,482.15,44.32,14.60,34.54,5.48,44.28,622.55
72,111.99,12.53,29.22,50.55,12.24,26.24,309.56
73,227.83,6.72,28.36,30.64,12.85,42.24,1745.00
74,146.83,36.04,29.32,52.60,15.74,14.65,1703.34
75,414.65,44.94,5.02,49.20,20.76,44.91,497.80
76,50.02,40.61,6.46,14.28,1.25,24.95,246.41
77,184.99,26.13,20.57,21.07,7.66,13.62,1770.69
78,381.76,6.83,19.86,21.74,2.75,18.50,731.92
79,312.35,26.95,4.90,70.23,18.71,10.63,1893.37
80,131.39,32.31,7.83,77.59,4.21,34.92,1309.76
81,394.50,45.68,26.48,29.28,17.07,29.93,693.38
82,106.31,41.40,13.60,100.64,14.94,42.20,1895.01
83,343.34,43.79,17.12,83.77,16.16,17.63,1489.12
84,148.89,13.96,12.25,46.19,17.87,29.65,310.58
85,86.10,34.27,1.07,62.05,17.11,12.04,332.73
86,331.16,39.70,13.72,16.00,20.94,45.51,398.25
87,81.91,37.52,16.17,51.72,13.43,10.00,1575.22
88,534.20,41.90,18.61,75.55,7.36,32.11,835.44
89,220.64,44.36,11.23,89.95,19.58,25.84,474.79
90,509.28,21.06,21.57,96.57,16.05,32.00,1380.85
91,474.00,28.44,15.66,17.93,6.58,9.73,625.22
92,57.50,8.34,11.31,93.34,17.53,30.01,1614.08
93,310.11,46.52,21.05,75.76,4.48,11.03,1079.27
94,460.41,19.31,28.57,14.53,15.76,11.10,535.15
95,431.71,10.90,25.98,34.34,19.31,38.50,146.65
96,304.02,48.45,29.24,39.67,17.46,19.17,495.60
97,412.72,35.01,13.05,80.76,5.67,21.90,748.41
98,238.78,35.46,7.45,75.75,16.13,47.72,341.07
99,399.51,49.62,5.62,13.16,18.94,1.74,1387.47
100,348.44,16.49,29.29,71.83,20.54,12.75,1091.73
101,207.48,46.99,1.33,87.83,1.87,29.81,1469.04
102,282.69,21.94,24.44,69.16,19.10,41.02,883.91
103,510.98,9.30,22.39,74.35,8.61,14.04,885.41
104,87.56,30.46,4.43,76.49,16.26,11.17,741.69
105,116.23,23.76,1.13,80.06,3.95,24.73,1987.11
106,313.16,14.88,10.48,26.75,2.71,25.20,857.34
107,257.61,7.50,25.27,96.02,4.46,16.47,1448.07
108,151.34,36.00,11.89,55.79,9.72,17.84,1960.77
109,114.27,47.02,11.93,43.86,6.71,13.90,978.08
110,449.20,26.49,14.70,71.54,9.94,3.41,447.39
111,208.84,34.45,7.35,23.95,17.37,2.73,218.38
112,525.96,4.78,14.00,36.80,15.89,50.51,991.56
113,281.58,36.78,10.28,98.83,3.94,48.48,1901.14
114,535.52,21.02,21.68,12.02,19.42,6.23,1136.92
115,516.49,39.26,3.94,36.61,3.82,4.92,2095.34
116,487.18,34.44,6.54,77.93,13.77,28.79,1353.78
117,286.58,11.44,11.54,64.13,7.55,34.39,264.45
118,147.98,40.57,14.72,75.86,3.93,45.39,1307.63
119,59.84,42.61,25.79,68.71,16.33,36.32,1198.42
120,180.53,14.93,25.42,75.02,7.77,3.50,523.98
121,213.19,4.64,19.78,4.70,19.91,47.62,815.07
122,489.46,5.53,5.19,6.11,7.33,26.87,1865.73
123,289.50,6.23,4.43,26.33,14.84,12.28,1597.54
124,196.56,24.97,20.99,56.28,18.41,42.72,504.48
125,132.24,9.59,15.35,11.93,14.59,7.91,1975.75
126,442.51,21.32,30.68,42.60,12.22,49.95,686.78
127,470.42,29.45,26.66,18.17,11.09,26.19,1674.69
128,83.21,9.77,3.89,77.07,8.54,35.52,1312.03
129,184.94,21.10,16.76,38.78,11.65,35.19,1559.03
130,329.25,6.53,7.76,33.77,16.86,42.13,1156.47
131,318.66,3.40,11.20,92.01,6.69,5.21,1059.78
132,300.73,7.53,20.16,94.95,6.65,26.56,1447.88
133,530.30,10.69,21.75,34.63,20.91,25.43,472.37
134,497.13,27.36,30.08,81.44,6.20,8.01,898.11
135,373.67,35.50,1.86,97.51,12.39,6.50,1060.02
136,123.06,26.96,18.76,85.27,12.97,19.01,1459.43
137,139.47,33.82,20.44,17.09,4.58,19.49,1877.28
138,295.96,38.17,22.40,98.53,18.50,33.72,669.59
139,167.72,27.93,25.22,60.35,8.53,12.86,110.04
140,430.86,3.71,12.24,35.49,10.15,18.44,836.64
141,521.17,4.69,17.51,11.25,6.27,13.57,405.69
142,86.96,4.88,30.97,78.48,6.25,14.79,1455.24
143,62.09,19.54,5.57,47.89,12.93,50.07,1679.32
144,348.09,11.12,13.43,88.21,2.01,43.81,1259.13
145,306.27,27.44,14.21,57.93,14.34,13.09,993.78
146,262.29,9.72,27.53,35.91,7.61,26.55,330.21
147,262.53,45.74,2.40,36.98,7.58,17.61,1158.40
148,333.61,9.11,26.28,9.42,1.08,17.31,429.20
149,55.56,22.92,9.42,43.16,2.76,42.27,1081.51
150,451.99,11.44,24.36,50.10,16.51,23.76,1836.92
151,58.09,44.95,21.43,20.34,1.32,33.26,1568.58
152,167.76,13.92,8.92,42.99,11.56,4.82,427.40
153,454.65,20.73,18.52,42.70,1.96,6.94,1147.66
