1,21,25.26,125
2,22,31.62,29
2,27,31.20,199
2,48,4.29,305
4,27,20.49,196
6,8,84.02,326
6,10,80.48,296
10,21,92.12,237
11,24,39.00,251
11,34,68.36,28
11,46,15.55,197
12,3,99.11,111
13,34,98.07,112
14,4,82.07,260
15,5,17.73,450
16,2,47.11,106
16,47,48.21,136
18,11,5.77,169
18,16,67.76,367
19,1,61.15,265
20,8,27.66,24
22,11,82.82,98
23,33,74.96,434
24,17,16.88,79
24,37,20.70,378
25,16,3.03,81
26,23,18.24,423
26,50,85.71,210
28,11,27.36,207
28,12,25.51,342
28,28,12.37,249
28,30,16.75,345
28,43,10.06,248
29,44,50.32,364
30,25,41.09,183
31,15,32.44,468
32,2,55.04,430
34,26,64.86,244
34,34,34.22,261
35,6,92.44,335
35,26,42.16,428
35,32,39.74,406
36,3,94.94,64
36,36,42.26,366
37,30,48.04,237
37,49,51.13,200
40,9,3.14,278
43,16,47.28,271
46,35,44.26,426
47,3,90.16,380
47,48,68.43,165
48,26,44.18,219
50,2,96.11,279
50,26,45.10,365
50,35,71.72,197
52,35,73.07,171
53,15,74.80,402
53,19,11.78,74
53,34,32.63,438
53,46,59.72,447
54,5,63.01,387
54,21,24.20,337
54,27,37.85,74
55,34,39.40,460
57,37,37.46,397
58,21,43.31,369
58,47,73.26,144
59,8,20.70,17
60,32,8.95,122
62,5,41.11,67
62,12,35.49,67
65,25,71.39,150
66,6,35.74,199
67,25,71.63,182
68,6,79.63,48
69,11,95.23,2
70,7,1.15,410
70,30,80.56,90
71,4,64.66,3
73,26,39.33,72
73,41,68.19,5
74,23,64.33,292
74,45,99.89,370
75,35,82.26,464
76,8,73.11,419
77,48,8.26,444
78,41,88.68,307
79,17,68.24,42
81,14,90.12,235
81,43,37.10,46
84,4,32.38,278
85,11,9.58,372
85,35,87.59,461
87,11,55.50,258
88,43,10.40,195
90,3,100.64,468
91,32,46.35,342
91,39,4.31,324
93,38,21.80,165
94,17,2.65,22
94,41,65.58,292
95,37,18.76,389
98,32,99.01,142
100,44,38.21,288
101,28,81.13,101
102,22,31.54,105
105,40,81.82,397
105,50,5.09,346
107,21,6.56,499
109,5,97.34,466
109,36,62.51,48
110,9,36.25,433
110,23,1.85,144
112,7,97.86,476
112,43,98.05,430
115,20,67.58,448
116,36,77.35,69
117,7,29.95,388
120,25,56.93,337
123,27,72.14,454
126,20,26.05,332
128,4,15.07,476
129,37,79.76,146
131,2,32.27,295
131,32,28.95,80
133,6,65.65,54
133,28,93.97,41
133,40,27.71,108
135,10,38.55,316
136,4,10.93,55
136,10,3.81,309
137,23,84.13,170
140,23,57.48,369
140,34,49.10,461
141,39,92.70,288
142,27,38.03,225
145,4,92.80,235
145,22,48.69,82
145,28,51.81,321
147,36,67.46,75
148,6,29.41,436
148,48,45.42,112
152,24,97.02,319
154,26,83.96,350
154,41,96.78,435
155,4,21.83,61
155,23,16.11,418
156,22,45.60,325
156,49,65.40,352
158,43,4.26,186
160,40,36.09,33
161,27,86.63,460
161,31,70.29,361
161,45,79.49,287
162,7,7.89,8
162,14,93.63,327
165,24,5.39,387
165,34,88.00,146
165,47,50.33,214
167,28,93.17,406
167,46,17.20,309
167,49,50.06,360
168,36,14.01,165
171,2,49.20,63
171,18,23.99,195
173,14,77.56,397
173,34,62.48,284
173,39,79.76,81
177,21,62.35,145
177,47,71.74,256
178,5,35.90,27
178,49,51.97,459
179,15,43.04,492
179,40,36.60,87
180,37,83.14,1
181,22,44.83,212
182,37,88.34,133
183,24,62.82,193
183,40,84.19,186
184,45,41.17,362
185,3,71.12,475
185,27,82.25,186
185,41,16.46,444
187,46,93.82,443
190,6,63.20,384
190,17,36.67,203
191,21,45.96,151
193,4,20.63,306
193,16,73.00,4
193,17,15.25,433
193,27,93.93,29
194,35,18.26,23
196,28,35.17,256
196,48,23.83,372
198,24,12.90,316
202,38,43.55,120
203,5,43.93,12
204,19,74.91,390
205,1,60.35,241
206,5,72.18,75
207,22,94.49,499
207,24,99.36,247
208,13,56.48,78
208,40,30.71,423
209,2,74.66,243
209,48,25.66,383
213,23,43.83,270
214,9,26.41,478
214,24,26.31,357
216,25,1.42,498
217,8,98.19,496
218,25,21.57,284
218,28,92.77,329
219,37,46.05,365
219,41,32.58,352
220,5,97.73,362
220,9,15.29,255
222,11,10.82,422
223,1,40.21,334
224,12,2.82,254
227,8,31.25,130
227,9,44.51,386
227,23,95.75,226
230,25,94.70,218
230,50,44.26,166
231,26,61.74,488
234,49,31.80,319
235,19,89.25,330
236,22,28.20,439
237,15,89.80,282
237,50,90.47,39
238,30,35.90,275
240,4,38.29,57
242,12,89.12,197
242,40,66.97,412
243,34,80.50,350
246,6,28.20,6
246,36,48.84,413
246,49,88.50,256
249,36,34.15,356
251,12,11.06,226
252,43,98.06,18
253,17,58.74,142
255,12,47.67,320
255,15,66.06,205
256,31,6.81,376
257,29,85.00,437
257,43,47.34,148
260,36,37.47,173
262,36,36.57,437
262,46,10.53,293
262,48,95.21,185
265,2,21.37,229
266,21,85.55,192
267,18,55.97,115
267,44,44.63,190
268,9,70.90,63
269,6,79.02,374
269,33,61.39,196
270,9,81.98,271
270,16,4.87,62
271,41,47.17,231
272,31,12.64,477
273,1,32.03,122
273,41,67.42,172
277,4,55.28,176
277,47,66.68,365
279,15,51.56,25
280,15,94.25,155
282,27,33.49,130
283,28,32.70,244
284,6,38.95,352
284,20,93.36,214
287,5,31.72,478
287,22,53.87,48
289,4,100.82,418
289,17,42.54,76
289,43,32.74,411
289,44,87.54,90
290,32,87.13,478
